timestamp,position_lat,position_long,enhanced_speed,enhanced_altitude,,,Adjusted time
1034458546,568484288,-1459240971,0.13,37.4,,,10/11/22 9:35 PM
1034458586,568484863,-1459241389,0.45,37.4,,,
1034458614,568483472,-1459241288,0.35,37.4,,,
1034458641,568483849,-1459244802,0.48,37.4,,,
1034458669,568484791,-1459242418,0.65,37.4,,,
1034458673,568484163,-1459241541,1.34,37.4,,,
1034458694,568483327,-1459238532,0.97,37.4,,,
1034458716,568481125,-1459235763,1.2,37.4,,,
1034458738,568479209,-1459232389,0.8,37.4,,,
1034458765,568477527,-1459228998,0.92,37.4,,,
1034458768,568477273,-1459228667,0.81,37.4,,,
1034458787,568474562,-1459229053,0.68,37.4,,,
1034458809,568474405,-1459228870,0.99,37.4,,,
1034458811,568474481,-1459228584,1.07,37.4,,,
1034458821,568475166,-1459227286,1.1,37.4,,,
1034458840,568474412,-1459224956,0.9,37.4,,,
1034458862,568473541,-1459224346,0.36,37.4,,,
1034458887,568473975,-1459225169,1.03,37.4,,,
1034458892,568474366,-1459225673,1.05,37.4,,,
1034458913,568475917,-1459228449,0.77,37.4,,,
1034458934,568477433,-1459231087,1.34,37.4,,,
1034458957,568479538,-1459234552,1.28,37.4,,,
1034458979,568481565,-1459237939,1.58,37.4,,,
1034458998,568483355,-1459240770,1.3,37.4,,,
1034459016,568484693,-1459243468,0.96,37.4,,,
1034459033,568486001,-1459245161,0.94,37.4,,,
1034459037,568485698,-1459245813,1.26,37.4,,,
1034459059,568484113,-1459246742,0.54,37.4,,,
1034459086,568484437,-1459247312,0.13,37.4,,,
1034459116,568486013,-1459242803,0.16,37.4,,,
1034459155,568485070,-1459241475,0.37,37.4,,,
1034459195,568485688,-1459242576,0.31,37.4,,,
1034459232,568486920,-1459244498,0.2,37.4,,,
1034459314,568486939,-1459244302,0,37.4,,,
1034459319,568487013,-1459244147,0,37.4,,,
1034459356,568487361,-1459244329,0.13,37.4,,,
1034459398,568486764,-1459243768,0,37.4,,,
1034459439,568487149,-1459243969,0.49,37.4,,,
1034459489,568488059,-1459245719,0.55,37.4,,,
1034459525,568487141,-1459244594,0.17,37.4,,,
1034459559,568487766,-1459245386,0.79,37.4,,,
1034459567,568487048,-1459244473,0.16,37.4,,,
